model_name,q,prune_time_s,remaining_points
flowers,60.0,0.000657,210949
flowers,70.0,0.000881,246107
flowers,80.0,0.001182,281265
flowers,90.0,0.000833,316423
flowers,100.0,0.001012,351582
garden,60.0,0.000576,215188
garden,70.0,0.000764,251052
garden,80.0,0.001123,286917
garden,90.0,0.000873,322782
garden,100.0,0.000765,358647
stump,60.0,0.000622,256445
stump,70.0,0.000812,299186
stump,80.0,0.000868,341927
stump,90.0,0.001279,384668
stump,100.0,0.000835,427409
treehill,60.0,0.000559,217678
treehill,70.0,0.000860,253957
treehill,80.0,0.000809,290237
treehill,90.0,0.000885,326517
treehill,100.0,0.000740,362797
counter,60.0,0.000466,90086
counter,70.0,0.000593,105100
counter,80.0,0.000594,120115
counter,90.0,0.000612,135129
counter,100.0,0.000505,150144
kitchen,60.0,0.000450,86148
kitchen,70.0,0.000609,100506
kitchen,80.0,0.000637,114864
kitchen,90.0,0.001218,129222
kitchen,100.0,0.000548,143581
bonsai,60.0,0.000507,104176
bonsai,70.0,0.000605,121538
bonsai,80.0,0.000614,138901
bonsai,90.0,0.000605,156264
bonsai,100.0,0.000520,173627
train,60.0,0.000430,62665
train,70.0,0.000581,73109
train,80.0,0.000586,83553
train,90.0,0.000582,93997
train,100.0,0.000491,104442
drjohnson,60.0,0.000463,102368
drjohnson,70.0,0.000623,119429
drjohnson,80.0,0.000628,136491
drjohnson,90.0,0.000628,153552
drjohnson,100.0,0.000867,170614
playroom,60.0,0.000457,82628
playroom,70.0,0.000610,96399
playroom,80.0,0.000592,110171
playroom,90.0,0.000601,123942
playroom,100.0,0.000512,137714
